metric,수도권,비수도권,gap_metro_minus_nonmetro
employment_rate,62.883333333333326,63.40535714285715,-0.522023809523823
employment_rate_15_64,70.16666666666667,69.48571428571428,0.680952380952391
labor_force_participation_rate,64.86666666666666,65.08928571428571,-0.22261904761904816
unemployment_rate,3.091666666666667,2.6089285714285713,0.4827380952380955
female_employment_rate,55.133333333333326,55.91607142857142,-0.7827380952380949
gender_employment_rate_gap,15.766666666666667,14.985714285714286,0.7809523809523817
wage_worker_share,81.75873679887751,73.91469633242578,7.84404046645173
regular_worker_share,61.78737350340538,54.47621830188741,7.31115520151797
self_employed_share,16.789865375746885,21.88028761659947,-5.090422240852586
temporary_worker_share,16.959376512931005,16.53576238494223,0.42361412798877396
daily_worker_share,3.012534586829112,2.895483117948704,0.11705146888040785
short_hours_worker_share,23.603215490777558,26.38937791203427,-2.786162421256712
long_hours_worker_share,9.543035879843492,10.055886454394502,-0.5128505745510097
youth_employed_share,13.4829686107963,11.169480078491953,2.3134885323043477
senior_employed_share,20.496758913663275,26.542572353244996,-6.045813439581721
college_employed_share,56.64415780882687,50.124785584308306,6.519372224518563
employment_inclusion_score,61.885045960996244,52.42989341637911,9.455152544617135
