region,metro_area,employment_inclusion_score,labor_market_access_score,female_employment_score,stable_wage_job_score,youth_retention_score,working_time_quality_score,education_job_score,labor_market_access_score_need,female_employment_score_need,stable_wage_job_score_need,youth_retention_score_need,working_time_quality_score_need,education_job_score_need,top_policy_need,top_policy_label
전남,비수도권,38.338900450652126,63.197874178072325,68.37555535034527,28.964891727167384,3.2732274346388186,48.73528696861365,17.486567045075336,36.802125821927675,31.624444649654734,71.03510827283262,96.72677256536119,51.26471303138635,82.51343295492467,youth_retention_score,청년 정착 일자리
경북,비수도권,44.37422457647714,61.3079350183791,62.7715339529477,41.01637759123469,9.018379624639824,61.05325443942272,31.077866832238822,38.6920649816209,37.2284660470523,58.98362240876531,90.98162037536018,38.94674556057728,68.92213316776117,youth_retention_score,청년 정착 일자리
전북,비수도권,45.71951794816064,53.53013073228138,63.825857140241716,49.777937880653134,13.123821170828103,59.115562554009884,34.943798210949645,46.46986926771862,36.174142859758284,50.222062119346866,86.87617882917189,40.884437445990116,65.05620178905036,youth_retention_score,청년 정착 일자리
강원,비수도권,46.45626391918149,61.53592048697121,72.67735651324381,45.97903176205221,14.617617441665685,54.18513667121298,29.742520639943027,38.46407951302879,27.322643486756192,54.02096823794779,85.38238255833431,45.81486332878702,70.25747936005698,youth_retention_score,청년 정착 일자리
경남,비수도권,47.537139369550744,60.925323099103736,54.735891339944715,55.97644952253938,16.668923207113497,56.64573486969727,40.27051417890589,39.074676900896264,45.264108660055285,44.02355047746062,83.3310767928865,43.35426513030273,59.72948582109411,youth_retention_score,청년 정착 일자리
울산,비수도권,50.24681773890086,40.93854607672104,17.272796499192946,78.50898205521942,44.81514639385489,72.24238524937925,47.70305015903759,59.06145392327896,82.72720350080705,21.49101794478058,55.18485360614511,27.757614750620746,52.29694984096241,female_employment_score,여성 고용 참여
대구,비수도권,51.15785407675222,25.832517686862552,47.63629433673922,60.28074349621015,37.028766295443546,75.15002200260388,61.01878064265398,74.16748231313744,52.36370566326078,39.71925650378985,62.971233704556454,24.849977997396124,38.98121935734602,labor_market_access_score,기초 고용 접근성
충남,비수도권,51.87430897035379,66.38760122678245,55.62532202423452,61.292816449415874,35.886110770814554,59.86668238381266,32.18732096706271,33.61239877321755,44.37467797576548,38.707183550584126,64.11388922918545,40.13331761618734,67.8126790329373,education_job_score,고학력·지역산업 일자리 기반
부산,비수도권,52.694169796157446,35.279645100749065,42.855100813578325,68.19325952164805,39.8496121979256,67.1999596417162,62.78744150132742,64.72035489925094,57.144899186421675,31.806740478351955,60.1503878020744,32.800040358283795,37.21255849867258,labor_market_access_score,기초 고용 접근성
광주,비수도권,53.48239341198579,36.92555193564995,47.43124499674178,64.71038835176954,42.96098427523114,69.54077673277374,59.325414179748556,63.07444806435005,52.56875500325822,35.28961164823046,57.03901572476886,30.459223267226264,40.674585820251444,labor_market_access_score,기초 고용 접근성
충북,비수도권,56.19046174127444,81.68192672013895,68.19066490346766,55.69299522984774,35.67516914142415,60.59811082313076,35.303903629637404,18.318073279861053,31.809335096532337,44.30700477015226,64.32483085857585,39.40188917686924,64.6960963703626,education_job_score,고학력·지역산업 일자리 기반
인천,수도권,56.52893118724561,51.90418297417004,50.148862963989,71.07788830922678,44.61606889010591,71.80712121534728,49.619462770634655,48.09581702582996,49.851137036011,28.92211169077322,55.38393110989409,28.19287878465272,50.380537229365345,youth_retention_score,청년 정착 일자리
대전,비수도권,60.89210366955147,47.56244016668573,58.19140627593422,67.22470034144173,61.22095221940842,64.99014479164056,66.16297822219818,52.43755983331427,41.80859372406578,32.77529965855827,38.77904778059158,35.00985520835944,33.83702177780182,labor_market_access_score,기초 고용 접근성
경기,수도권,62.05560765656793,59.53124936180443,54.83064517913752,72.97968432064671,54.17376577599777,72.28070195390593,58.53759934791518,40.46875063819557,45.16935482086248,27.02031567935329,45.82623422400223,27.719298046094067,41.46240065208482,youth_retention_score,청년 정착 일자리
제주,비수도권,62.2357730068211,91.0057564653932,100.0,43.68493349923189,27.623120999595965,54.31204032275501,56.788786753950504,8.994243534606795,0.0,56.31506650076811,72.37687900040403,45.68795967724499,43.211213246049496,youth_retention_score,청년 정착 일자리
서울,수도권,67.07059903917518,45.386586371271186,60.78207049536758,77.2124944065675,68.6365460660054,68.96817533477969,81.4377215610597,54.613413628728814,39.21792950463242,22.7875055934325,31.363453933994606,31.031824665220313,18.562278438940297,labor_market_access_score,기초 고용 접근성
세종,비수도권,72.8185791534883,59.65396871497853,59.48672078182707,97.06028722575832,49.96497965550754,72.31930762197872,98.42621092087957,40.34603128502147,40.51327921817293,2.939712774241684,50.03502034449246,27.680692378021277,1.5737890791204308,youth_retention_score,청년 정착 일자리
