region_cd,province,district,region,year,class_size_total,elementary_schools,elementary_students,elementary_teachers,fiscal_self_reliance,kindergartens,population,private_academies_per_1000,teacher_per_student,private_academies_per_1000_score,elementary_students_score,elementary_schools_score,elementary_teachers_score,kindergartens_score,teacher_per_student_score,class_size_total_score,population_score,fiscal_self_reliance_score,stability_score,private_education_access_score,school_infra_score,education_demand_score,academic_admissions_proxy_score,education_quality_score
11230,서울,강남구,서울 강남구,2016,28.06,33.0,24190.0,1573.0,59.97,41.0,567115.0,3.7,14.6,100.0,81.44279539985561,64.94332442186757,77.71993132904436,54.78590297930444,53.2972972972973,0.0,84.57978032645622,100.0,79.0839966822382,98.14427953998556,51.29599262298973,90.46985857112631,97.64261855566173,86.51994657307299
11220,서울,서초구,서울 서초구,2016,27.98,24.0,22595.0,1323.0,57.93,27.0,447192.0,2.4,12.34,73.77717391304347,79.96238578844532,54.526065799329196,73.13287122253898,41.88135861125274,65.76282404853833,0.0,78.39902453074217,100.0,74.40611341331115,78.32911901362712,48.62319956689617,88.20493741723331,87.39530011939856,76.39301193653749
31020,경기,성남시,경기 성남시,2016,26.6,71.0,47233.0,2880.0,56.78,131.0,974580.0,1.8,17.69,53.39673913043479,95.96594244858146,90.36288978303124,93.75204310280542,91.23148197651186,36.253723110865955,8.484677955696512,98.66607486881207,98.22896462547335,95.65537164154061,64.37849328650523,64.14299124209687,97.05531924235157,81.12768214852102,75.82151734735702
31190,경기,용인시,경기 용인시,2016,27.12,100.0,67099.0,3791.0,54.78,170.0,991126.0,1.7,19.02,50.0,100.0,100.0,100.0,99.47014758116849,28.917815774958626,5.1593594925052315,99.10405829284961,94.38056094332072,99.73121748785488,61.6570841414981,66.73595719066805,96.77491726275385,78.37797599032437,74.86050794148616
31240,경기,화성시,경기 화성시,2016,26.26,80.0,49157.0,2873.0,61.53,139.0,640890.0,1.7,19.73,50.0,96.83250485177834,94.35325530296096,93.68752747681144,93.10417047177378,25.00165471594042,10.658924643167751,87.76144188572522,100.0,93.61533605219893,62.18325048517784,63.39027437238275,96.96604278351056,80.63653166011551,74.7496627382011
35010,전북,전주시,전북 전주시,2016,26.93,69.0,38399.0,2360.0,30.44,123.0,651744.0,3.1,19.48,97.55434782608695,91.47190196379216,89.40849006419536,88.47307580957256,89.24167643113107,26.380584666298944,6.374379700209758,88.19835711209562,47.54548813152305,90.07715612836384,89.44477428567289,59.937211303203625,66.61500143833,71.355558204619,74.72365002989599
31010,경기,수원시,경기 수원시,2016,27.12,97.0,68571.0,3998.0,51.43,196.0,1194041.0,1.7,16.82,50.0,100.0,100.0,100.0,100.0,41.052399338113624,5.1593594925052315,100.0,87.93448477571502,100.0,60.69017271635725,69.24235176612378,93.36396662664328,75.12675102367537,73.59814246923104
31100,경기,고양시,경기 고양시,2016,27.23,83.0,55090.0,3119.0,45.41,174.0,1039684.0,1.9,15.84,56.79347826086957,99.30565268790083,95.58535288417714,95.86561021483008,100.0,46.45780474351903,4.455926740676318,100.0,76.35078969243557,98.76989692078584,63.978292418307596,68.26621942738203,86.41260015683744,71.67381262503186,72.24926026804314
26020,울산,남구,울산 남구,2016,26.62,30.0,16858.0,1090.0,33.29,46.0,340714.0,3.2,15.29,100.0,73.60541742328662,61.81381337167199,67.9994869132239,58.36568604456266,49.491450634307775,8.356781091727626,71.32408459336668,53.029463378590556,70.5626967639877,90.31496124911725,49.68713365453185,60.76728236905434,72.83288516242347,71.5250078479261
38110,경남,창원시,경남 창원시,2016,25.43,108.0,57593.0,3873.0,39.75,194.0,1063907.0,1.8,16.76,53.39673913043479,100.0,100.0,100.0,100.0,41.38334252619965,15.966644497876914,100.0,65.45980727194359,100.0,59.86652543861763,71.46999740481532,81.00289399956898,64.99462936442443,68.90278002181103
38070,경남,김해시,경남 김해시,2016,26.9,58.0,35354.0,2171.0,35.25,92.0,529422.0,2.2,16.73,66.98369565217392,89.67873453526343,83.61661944994438,86.26028721206292,80.08575649225259,41.54881412024268,6.5662249961631005,82.79048854448087,56.80089898710015,86.39983772096485,67.7257800407218,59.924266990123655,69.95647657662434,64.2366761523396,66.38705362848505
37050,경북,구미시,경북 구미시,2016,25.81,48.0,26891.0,1672.0,40.94,99.0,419891.0,2.0,17.47,60.190217391304344,83.74016825971682,77.32471764158463,79.33763706713087,82.39542927735832,37.46718146718146,13.536604082467903,76.76019469935552,67.74960746282441,80.363086067982,63.679120988873606,57.859424296633264,73.25681872555859,66.54044591525914,65.64443204279935
31040,경기,안양시,경기 안양시,2016,26.97,41.0,30053.0,1712.0,43.76,87.0,597414.0,1.9,19.27,56.79347826086957,86.15298120686586,72.10225454043872,79.96425847904483,78.3269376084602,27.5388858246001,6.118585972271973,85.93387387975473,73.17585665465964,83.2771036754471,62.186785314537715,52.8920505284924,77.57762393744306,68.34158607701619,65.53742029755347
34010,충남,천안시,충남 천안시,2016,26.85,72.0,38136.0,2394.0,41.13,110.0,617955.0,1.8,20.95,53.39673913043479,91.32273793542657,90.83019304733772,88.85226544583732,85.71684564851245,18.272476558190846,6.885967156085329,86.81335692609586,68.11520581262891,89.87141465500959,59.39710901326309,58.26832056105898,77.83293362767937,65.21381658520357,65.20545256865418
11240,서울,송파구,서울 송파구,2016,25.93,39.0,31048.0,2106.0,42.87,54.0,657831.0,1.7,14.46,50.0,86.85991219558524,70.44929503121537,85.45450724236281,63.368356548190704,54.06949806949806,12.769222898654533,88.44020861632809,71.46331701610171,84.05187768893413,56.90548877197378,58.3264834926929,76.98776759354375,65.01307048065405,63.9916234978052
31150,경기,시흥시,경기 시흥시,2016,26.56,38.0,24816.0,1490.0,49.47,63.0,402888.0,1.5,18.47,43.20652173913044,81.99730498320845,69.5915542924264,76.28323230750253,68.19166278403692,31.951461665747388,8.740471683634325,75.68477859207175,84.16304916720544,77.62239692771104,53.22907917774949,51.35625502284279,81.00101025665809,68.22175833589536,62.73777364354628
