year,region,metro_area,female_employed_share,male_female_employed_share_gap,youth_employed_share,wage_worker_share,temporary_worker_ratio,daily_worker_ratio,self_employed_ratio,short_hours_worker_ratio,long_hours_worker_ratio,female_employed_share_score,male_female_employed_share_gap_score,youth_employed_share_score,wage_worker_share_score,temporary_worker_ratio_score,daily_worker_ratio_score,self_employed_ratio_score,short_hours_worker_ratio_score,long_hours_worker_ratio_score,employment_qol_proxy_score
2025,강원,비수도권,45.465207193119625,9.069585613760747,10.046911649726349,70.79749804534792,18.881939014855355,3.362001563721658,23.846755277560597,29.710711493354182,8.05316653635653,71.97694392969063,72.34796786201358,18.227307722265596,36.9828557073624,7.64974865024017,19.672239485490934,33.05716115143332,8.463346258643938,73.72948479501788,38.01189506246205
2025,경기,수도권,43.706818864523875,12.582070977985662,12.487662532721108,81.2298845642192,16.43994335493284,3.5918122130197827,17.2252499678153,21.078831051795905,8.771402823670773,54.70602876662135,55.07823708866585,58.960215839817884,85.75560702289008,36.8680343326987,12.030266183836275,78.77405090860272,83.32702228396707,58.90792902906374,58.26748793957373
2025,경남,비수도권,42.875411033978814,14.249177932042375,9.517720131530872,70.66130800146144,15.36353671903544,1.6258677383997076,25.118743149433687,23.310193642674463,11.344537815126053,46.539929234601324,46.88162264575036,9.39580032123329,36.34614970245059,49.74715492832754,77.40450029120544,24.274969400368263,63.97457559178356,5.80860163112024,40.0414781940934
2025,경북,비수도권,43.37403889642696,13.22930800542741,10.334690185436454,65.21935775667119,15.015829941203076,3.346901854364541,28.132066938037088,25.12437810945274,10.199004975124378,51.43745918872805,51.895986331322874,23.029951341060766,10.90433104662241,53.90743913159903,20.174355362724043,3.4700640197914794,48.24028465823768,29.447867941801903,32.500859891320914
2025,광주,비수도권,44.520842286205415,11.001289213579724,11.559948431456812,80.14611087236786,17.70519982810486,3.953588311130211,17.834121186076494,21.787709497206706,9.669101847872795,62.701378387623855,62.85041907716852,43.47789295736528,80.68882535607199,21.729340312295307,0.0,74.5702185382514,77.17897069336968,40.382972293716314,51.50889084620693
2025,대구,비수도권,46.17073840241559,7.685973099094157,11.199560801537196,75.78918473785342,15.64644523744167,3.6233873181443865,21.5756244853143,23.05791929728246,6.780126269558057,78.90668149817151,79.15073375145931,37.46349946948645,60.319634234327864,46.362176794068056,10.980288251585904,48.73773999208226,66.16253278034696,100.0,58.67592075239203
2025,대전,비수도권,44.88286066584464,10.316481709823266,13.933415536374849,78.75051376900944,17.427044800657626,2.3016851623510073,19.482120838471022,22.893547061241268,8.631319358816276,66.25712805937812,66.21739146142272,83.08792369759253,74.16422905822174,25.057443301726195,54.93130887730777,63.19192691059246,67.588121319236,61.79869760049432,62.47713003177465
2025,부산,비수도권,45.57582891897194,8.867961546007454,12.18363743378458,81.18501079066117,19.52128703158721,2.8055719050421817,16.89228958210712,24.543849323131255,8.004708652148322,73.06347209375862,73.33928683034041,53.88643854173634,85.5458163489751,0.0,38.17538809441867,81.07291084072757,53.27516891976017,74.72946383503242,59.231993944972146
2025,서울,수도권,47.80156390206384,4.403281630560184,14.94680169209076,82.86758107934881,16.80553775157031,3.006024868606589,16.023586719651327,22.01640815280092,9.569285988975771,94.92467274171459,95.29064381370578,100.0,93.4120492682225,32.49372617967005,31.509656108214955,87.07070003470116,75.19548376074235,42.442776769066604,72.48218985289311
2025,세종,비수도권,44.952681388012614,10.09463722397476,10.09463722397476,83.75394321766562,11.198738170347005,0.946372239747634,14.353312302839116,22.39747634069401,8.359621451104102,66.94290818517679,67.30812754908777,19.02378451318359,97.5559064833885,99.5786414467469,100.0,98.60278342142603,71.89050687243467,67.40546763115856,76.47868067806698
