year,region,metro_area,employment_qol_proxy_score
2026,세종,비수도권,75.11659034927027
2026,서울,수도권,73.72677570732203
2026,대전,비수도권,62.672903983847554
2026,부산,비수도권,61.73440378686817
2026,경기,수도권,60.22488073494253
2026,대구,비수도권,59.35139009781705
2026,광주,비수도권,56.269453919314685
2026,인천,수도권,55.6496101866328
2026,충남,비수도권,48.39610899464786
2026,울산,비수도권,46.959000819278074
2026,충북,비수도권,46.900214813073866
2026,경남,비수도권,41.239757279957935
2026,강원,비수도권,40.63691372335198
2026,제주,비수도권,36.97517434507111
2026,전북,비수도권,35.10839268659868
2026,경북,비수도권,31.233635700310312
2026,전남,비수도권,22.01834854031719
