region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year
전북,비수도권,2016,59.925,65.475,960.0,61.2,608.75,1568.75,2.075,71.825,2.375,70.125,73.775,51.0,1.65,50.2,56.8,19.924999999999997,20.825,11.775814868489753,21.2075160465476,42.955452186100786,86.28677770231901,63.79801974573337,41.010972870554504,16.844190679774197,5.997359679352856,28.929623421114442,19.12553525749655,17.88491079132415,41.5,39.87471471295011,4,True
제주,비수도권,2016,69.225,73.775,362.75,70.775,149.5,512.5,2.15,77.925,2.55,75.925,79.6,63.800000000000004,1.7,62.75,67.675,13.175000000000002,14.124999999999998,13.727693390648017,18.227113167530042,46.07372053506816,88.74199772608799,65.27016298840798,38.57142491260278,18.520742843516143,8.319248314718603,28.036980285529033,21.41520471687653,25.148870559192726,42.275,43.87740346600114,4,True
충남,비수도권,2016,61.7,67.5,1266.25,63.725,720.5,1986.75,3.175,76.425,3.05,74.1,78.825,50.875,3.45,49.15,55.125,24.949999999999996,25.549999999999997,14.952817724261786,17.0810843667056,45.65023181324493,89.57791821222466,69.63530852503764,49.739755276028994,14.475296670866708,5.39842251700658,24.058769182742665,16.166184795989015,22.267392227008674,43.65,36.283462602651454,4,True
충북,비수도권,2016,62.0,68.2,867.5,63.65,495.25,1362.75,2.625,72.67500000000001,2.45,70.875,75.7,54.75,2.85,53.15,60.3,17.725,17.925000000000004,14.94635401994223,16.26816267992656,44.408892295078815,91.11965295015276,70.32497510344513,48.24185881312518,16.85009219416263,5.234724924134861,23.150983533143886,17.367672023338613,21.075517652204834,42.7,38.11090547020265,4,True
강원,비수도권,2017,60.975,67.1,811.25,62.625,483.75,1295.0,2.65,70.725,2.375,69.05000000000001,73.97500000000001,54.9,3.0,53.275,60.025,15.775000000000004,15.825000000000003,13.36761620522985,21.46699816593774,39.992839292121566,87.35857590683496,66.61898650761914,44.24568684518843,17.525214323998348,4.878610368957399,26.19469190591429,19.76675983177143,23.701608756710282,42.45,36.29413927402308,4,True
경기,수도권,2017,62.125,67.85,6953.5,64.625,3806.5,10759.75,3.875,76.6,3.925,73.575,78.675,52.825,3.75,50.849999999999994,56.775,22.725,23.775,15.519843001120055,11.351260600297515,49.713376826751485,94.79938771051526,77.97811904552955,54.35681842740795,18.44476374869869,5.180225273081803,18.873476378744005,15.159334450788286,20.00008531086432,43.35,46.777316624061505,4,True
경남,비수도권,2017,60.85,66.425,1775.25,62.75,1054.75,2829.75,2.925,74.975,3.3,72.5,76.525,50.45,2.4,49.25,55.525,23.25,24.525,12.364785114278888,17.040848835796204,45.57967366017402,90.47313898371446,67.33928455314309,48.272023648535374,14.670388940284663,4.396871964323053,26.831075627565596,18.138525218684045,24.544048719477296,43.5,40.76794955264425,4,True
경북,비수도권,2017,62.45,67.85,1487.75,64.25,828.5,2316.0,2.775,75.775,2.7,73.775,77.625,52.9,2.925,51.325,57.325,22.450000000000003,22.875,12.02861846818842,22.91533851860227,40.82671579516033,85.54881953582313,64.43992008690574,44.27853481134332,15.466794148022094,4.728685946708754,27.827785753991876,18.159418127374785,21.63624367594145,42.9,34.45978550892923,4,True
광주,비수도권,2017,59.05,63.8,766.0,60.775,494.25,1259.75,2.85,70.5,3.2,68.275,72.5,51.575,2.425,50.325,55.25,17.95,18.924999999999997,14.554824506554999,13.138218240809739,48.98088276407528,92.57528968801519,75.59281845599008,50.85606441559226,19.225648345610644,5.477683234894142,20.909858241649374,16.53362920053185,18.021051820127198,42.849999999999994,50.689400378282414,4,True
대구,비수도권,2017,58.8,65.025,1290.75,61.275,816.75,2107.5,4.0,70.575,4.15,67.625,72.85,52.425,3.8,50.475,57.275,17.15,18.15,12.771385744391239,14.688835506256787,46.6114807168112,92.8777758486762,72.25545850497237,46.63308416423658,18.399573834586132,7.202458764896608,23.890650896200196,15.17025501820109,20.78073905268402,43.35,48.66877887100431,4,True
대전,비수도권,2017,58.9,63.975,791.0,61.0,505.5,1296.0,3.425,71.25,3.475,68.775,73.475,51.1,3.3,49.375,54.45,19.4,20.15,16.891910636674474,12.797163270316965,47.528623622978145,93.71642111322684,79.70678736517804,56.204022624440285,17.93857310460173,5.564191636136039,17.96962489464068,14.636839017389088,16.203360537974255,42.375,53.02843768818913,4,True
부산,비수도권,2017,56.325,63.375,1765.5,59.025000000000006,1226.25,2991.75,4.574999999999999,69.775,4.4,66.7,73.375,49.0,4.825,46.675,53.65,20.025,20.775,14.791694978313746,16.987804632174274,44.495241515664375,92.09251240651326,78.17329751886854,50.28383798601591,21.19799559858783,6.691568478452132,18.695632148865812,17.131784967873788,20.26644315445948,42.7,45.891767932458535,4,True
서울,수도권,2017,60.225,66.35,5396.0,63.05,3160.5,8556.5,4.525,72.95,4.675,69.55,75.44999999999999,54.0,4.35,51.65,57.775,17.9,18.950000000000003,16.54401349776005,13.597833532684067,47.67934889398058,93.55281655251183,79.0828426302693,51.83506083661893,21.041085114865528,6.196982563453421,18.369538815956556,15.756200605573177,18.61964198819261,42.675000000000004,55.06631132364933,4,True
